ccaa_iso,fecha,num_casos,lug_ocio,lug_mercado,lug_parque,lug_estacion,lug_trabajo,lug_residencial,dosis_administradas,porcentaje_dosis_administradas,personas_una_dosis,personas_pauta_completa,porcentaje_pauta_completa,Fallecidos,Hospitalizados,UCI,CCAA,cod_ine,Población,dia_sem,dia_year,dia_mes,is_weekend,incidencia
ES-AN,2020-01-31,0,5.0,-1.0,33.0,15.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Andalucía,1,8464411,4,31,31,0,0.0
ES-AR,2020-01-31,0,3.0,7.0,42.0,10.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Aragón,2,1329391,4,31,31,0,0.0
ES-AS,2020-01-31,0,0.0,-1.0,20.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Principado de Asturias,3,1018784,4,31,31,0,0.0
ES-CB,2020-01-31,0,6.0,4.0,53.0,4.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Cantabria,6,582905,4,31,31,0,0.0
ES-CE,2020-01-31,0,-3.0,-6.0,3.0,-39.60294117647059,-1.0,10.333333333333332,0.0,0.0,0.0,0.0,0.0,0,0,0,Ceuta,18,84202,4,31,31,0,0.0
ES-CL,2020-01-31,0,5.0,2.0,28.0,15.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Castilla-León,7,2394918,4,31,31,0,0.0
ES-CM,2020-01-31,0,9.0,0.0,36.0,13.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Castilla-La Mancha,8,2045221,4,31,31,0,0.0
ES-CN,2020-01-31,0,-4.0,-2.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Canarias,5,2175952,4,31,31,0,0.0
ES-CT,2020-01-31,0,2.0,-1.0,17.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,6,0,Cataluña,9,7780479,4,31,31,0,0.0
ES-EX,2020-01-31,0,4.0,-3.0,32.0,11.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Extremadura,11,1063987,4,31,31,0,0.0
ES-GA,2020-01-31,0,0.0,-2.0,-16.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Galicia,12,2701819,4,31,31,0,0.0
ES-IB,2020-01-31,0,5.0,-2.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Islas Baleares,4,1171543,4,31,31,0,0.0
ES-MC,2020-01-31,0,2.0,-2.0,28.0,6.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Región de Murcia,14,1511251,4,31,31,0,0.0
ES-MD,2020-01-31,3,-1.0,-2.0,31.0,7.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,3,0,Comunidad de Madrid,13,6779888,4,31,31,0,4.4248518559598624e-07
ES-ML,2020-01-31,0,-4.0,-2.0,6.0,-28.666666666666664,1.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0,0,0,Melilla,19,87076,4,31,31,0,0.0
ES-NC,2020-01-31,0,1.0,-2.0,34.0,-29.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Comunidad Foral de Navarra,15,661197,4,31,31,0,0.0
ES-PV,2020-01-31,0,-3.0,-3.0,39.0,9.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,País Vasco,16,2220504,4,31,31,0,0.0
ES-RI,2020-01-31,0,0.0,0.0,27.0,7.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,La Rioja,17,319914,4,31,31,0,0.0
ES-VC,2020-01-31,0,2.0,0.0,33.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,3,0,Comunidad Valenciana,10,5057353,4,31,31,0,0.0
ES-AN,2020-02-01,0,6.0,4.0,17.0,10.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0,0,1,Andalucía,1,8464411,5,32,1,1,0.0
ES-AR,2020-02-01,0,-2.0,14.0,20.0,8.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Aragón,2,1329391,5,32,1,1,0.0
ES-AS,2020-02-01,0,2.0,1.0,11.0,6.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Principado de Asturias,3,1018784,5,32,1,1,0.0
ES-CB,2020-02-01,0,14.0,6.0,12.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Cantabria,6,582905,5,32,1,1,0.0
ES-CE,2020-02-01,0,3.0,-4.0,10.0,-40.205882352941174,1.0,4.666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,Ceuta,18,84202,5,32,1,1,0.0
ES-CL,2020-02-01,0,10.0,9.0,37.0,16.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Castilla-León,7,2394918,5,32,1,1,0.0
ES-CM,2020-02-01,0,10.0,6.0,40.0,11.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Castilla-La Mancha,8,2045221,5,32,1,1,0.0
ES-CN,2020-02-01,0,-3.0,-2.0,5.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Canarias,5,2175952,5,32,1,1,0.0
ES-CT,2020-02-01,7,-6.0,2.0,4.0,4.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Cataluña,9,7780479,5,32,1,1,8.996875385178727e-07
ES-EX,2020-02-01,0,5.0,6.0,21.0,11.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Extremadura,11,1063987,5,32,1,1,0.0
ES-GA,2020-02-01,0,-11.0,-17.0,-31.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Galicia,12,2701819,5,32,1,1,0.0
ES-IB,2020-02-01,0,1.0,5.0,4.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Islas Baleares,4,1171543,5,32,1,1,0.0
ES-MC,2020-02-01,0,-2.0,0.0,1.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Región de Murcia,14,1511251,5,32,1,1,0.0
ES-MD,2020-02-01,8,3.0,4.0,34.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,2,0,Comunidad de Madrid,13,6779888,5,32,1,1,1.17996049492263e-06
ES-ML,2020-02-01,0,1.0,-13.0,-2.0,-15.333333333333332,-2.0,3.666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,Melilla,19,87076,5,32,1,1,0.0
ES-NC,2020-02-01,0,6.0,0.0,28.0,-25.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Comunidad Foral de Navarra,15,661197,5,32,1,1,0.0
ES-PV,2020-02-01,0,4.0,2.0,7.0,8.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,País Vasco,16,2220504,5,32,1,1,0.0
ES-RI,2020-02-01,0,4.0,4.0,14.0,17.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,La Rioja,17,319914,5,32,1,1,0.0
ES-VC,2020-02-01,1,-3.0,0.0,8.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Comunidad Valenciana,10,5057353,5,32,1,1,1.977318965079163e-07
ES-AN,2020-02-02,1,0.0,0.0,10.0,8.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Andalucía,1,8464411,6,33,2,1,1.1814171121889048e-07
