ccaa_iso,fecha,num_casos
ES-AN,2020-01-31,0
ES-AR,2020-01-31,0
ES-AS,2020-01-31,0
ES-CB,2020-01-31,0
ES-CE,2020-01-31,0
ES-CL,2020-01-31,0
ES-CM,2020-01-31,0
ES-CN,2020-01-31,0
ES-CT,2020-01-31,0
ES-EX,2020-01-31,0
ES-GA,2020-01-31,0
ES-IB,2020-01-31,0
ES-MC,2020-01-31,0
ES-MD,2020-01-31,3
ES-ML,2020-01-31,0
ES-NC,2020-01-31,0
ES-PV,2020-01-31,0
ES-RI,2020-01-31,0
ES-VC,2020-01-31,0
ES-AN,2020-02-01,0
ES-AR,2020-02-01,0
ES-AS,2020-02-01,0
ES-CB,2020-02-01,0
ES-CE,2020-02-01,0
ES-CL,2020-02-01,0
ES-CM,2020-02-01,0
ES-CN,2020-02-01,0
ES-CT,2020-02-01,7
ES-EX,2020-02-01,0
ES-GA,2020-02-01,0
ES-IB,2020-02-01,0
ES-MC,2020-02-01,0
ES-MD,2020-02-01,8
ES-ML,2020-02-01,0
ES-NC,2020-02-01,0
ES-PV,2020-02-01,0
ES-RI,2020-02-01,0
ES-VC,2020-02-01,1
ES-AN,2020-02-02,1
ES-AR,2020-02-02,0
ES-AS,2020-02-02,0
ES-CB,2020-02-02,0
ES-CE,2020-02-02,0
ES-CL,2020-02-02,0
ES-CM,2020-02-02,0
ES-CN,2020-02-02,0
ES-CT,2020-02-02,2
ES-EX,2020-02-02,0
ES-GA,2020-02-02,1
ES-IB,2020-02-02,0
ES-MC,2020-02-02,0
ES-MD,2020-02-02,6
ES-ML,2020-02-02,0
ES-NC,2020-02-02,0
ES-PV,2020-02-02,0
ES-RI,2020-02-02,0
ES-VC,2020-02-02,0
ES-AN,2020-02-03,1
ES-AR,2020-02-03,0
ES-AS,2020-02-03,0
ES-CB,2020-02-03,0
ES-CE,2020-02-03,0
ES-CL,2020-02-03,0
ES-CM,2020-02-03,0
ES-CN,2020-02-03,0
ES-CT,2020-02-03,1
ES-EX,2020-02-03,0
ES-GA,2020-02-03,1
ES-IB,2020-02-03,0
ES-MC,2020-02-03,0
ES-MD,2020-02-03,7
ES-ML,2020-02-03,0
ES-NC,2020-02-03,0
ES-PV,2020-02-03,0
ES-RI,2020-02-03,0
ES-VC,2020-02-03,1
ES-AN,2020-02-04,0
ES-AR,2020-02-04,0
ES-AS,2020-02-04,0
ES-CB,2020-02-04,0
ES-CE,2020-02-04,0
ES-CL,2020-02-04,1
ES-CM,2020-02-04,0
ES-CN,2020-02-04,1
ES-CT,2020-02-04,5
ES-EX,2020-02-04,0
ES-GA,2020-02-04,0
ES-IB,2020-02-04,0
ES-MC,2020-02-04,0
ES-MD,2020-02-04,2
ES-ML,2020-02-04,0
ES-NC,2020-02-04,0
ES-PV,2020-02-04,0
ES-RI,2020-02-04,0
ES-VC,2020-02-04,0
ES-AN,2020-02-05,0
ES-AR,2020-02-05,0
ES-AS,2020-02-05,0
ES-CB,2020-02-05,0
ES-CE,2020-02-05,0
ES-CL,2020-02-05,1
ES-CM,2020-02-05,0
ES-CN,2020-02-05,0
ES-CT,2020-02-05,1
ES-EX,2020-02-05,0
ES-GA,2020-02-05,0
ES-IB,2020-02-05,0
ES-MC,2020-02-05,0
ES-MD,2020-02-05,4
ES-ML,2020-02-05,0
ES-NC,2020-02-05,0
ES-PV,2020-02-05,0
ES-RI,2020-02-05,0
ES-VC,2020-02-05,0
