cod_ine,year,Población
1,2021,8472407
1,2020,8464411
1,2022,8472407
2,2021,1326261
2,2020,1329391
2,2022,1326261
3,2021,1011792
3,2020,1018784
3,2022,1011792
4,2021,1173008
4,2020,1171543
4,2022,1173008
5,2022,2172944
5,2020,2175952
5,2021,2172944
6,2020,582905
6,2022,584507
6,2021,584507
7,2021,2383139
7,2022,2383139
7,2020,2394918
8,2020,2045221
8,2022,2049562
8,2021,2049562
9,2020,7780479
9,2021,7763362
9,2022,7763362
10,2022,5058138
10,2021,5058138
10,2020,5057353
11,2022,1059501
11,2020,1063987
11,2021,1059501
12,2020,2701819
12,2021,2695645
12,2022,2695645
13,2022,6751251
13,2020,6779888
13,2021,6751251
14,2022,1518486
14,2021,1518486
14,2020,1511251
15,2022,661537
15,2021,661537
15,2020,661197
16,2020,2220504
16,2021,2213993
16,2022,2213993
17,2020,319914
17,2021,319796
17,2022,319796
18,2020,84202
18,2021,83517
18,2022,83517
19,2021,86261
19,2020,87076
19,2022,86261
