fecha,cod_ine,CCAA,dosis_administradas,porcentaje_dosis_administradas,personas_una_dosis,personas_pauta_completa,porcentaje_pauta_completa,ccaa_iso
2021-01-04,1,Andalucía,25809,0.3,25809.0,0.0,0.0,ES-AN
2021-01-05,1,Andalucía,40263,0.47,66072.0,0.0,0.0,ES-AN
2021-01-07,1,Andalucía,53934,0.64,120006.0,0.0,0.0,ES-AN
2021-01-08,1,Andalucía,69445,0.82,189451.0,0.0,0.0,ES-AN
2021-01-11,1,Andalucía,81387,0.96,270838.0,0.0,0.0,ES-AN
2021-01-12,1,Andalucía,94879,1.12,365717.0,0.0,0.0,ES-AN
2021-01-13,1,Andalucía,109831,1.29,475548.0,0.0,0.0,ES-AN
2021-01-14,1,Andalucía,123459,1.46,599007.0,0.0,0.0,ES-AN
2021-01-15,1,Andalucía,139718,1.65,738725.0,0.0,0.0,ES-AN
2021-01-18,1,Andalucía,151404,1.78,890129.0,533.0,0.01,ES-AN
2021-01-19,1,Andalucía,164820,1.94,1054949.0,1773.0,0.02,ES-AN
2021-01-20,1,Andalucía,174279,2.05,1229228.0,4568.0,0.05,ES-AN
2021-01-21,1,Andalucía,194101,2.29,1423329.0,15193.0,0.18,ES-AN
2021-01-22,1,Andalucía,209766,2.47,1633095.0,20846.0,0.25,ES-AN
2021-01-25,1,Andalucía,226309,2.67,1859404.0,25516.0,0.3,ES-AN
2021-01-26,1,Andalucía,251172,2.96,2110576.0,37978.0,0.45,ES-AN
2021-01-27,1,Andalucía,257976,3.04,2368552.0,50951.0,0.6,ES-AN
2021-01-28,1,Andalucía,265620,3.13,2634172.0,55004.0,0.65,ES-AN
2021-01-29,1,Andalucía,282995,3.34,2917167.0,67511.0,0.8,ES-AN
2021-02-01,1,Andalucía,299792,3.53,3216959.0,78640.0,0.93,ES-AN
2021-02-02,1,Andalucía,313286,3.69,3530245.0,90764.0,1.07,ES-AN
2021-02-03,1,Andalucía,329258,3.88,3859503.0,104529.0,1.23,ES-AN
2021-02-04,1,Andalucía,345648,4.07,4205151.0,117953.0,1.39,ES-AN
2021-02-05,1,Andalucía,363482,4.28,4568633.0,131693.0,1.55,ES-AN
2021-02-08,1,Andalucía,378943,4.47,4947576.0,143552.0,1.69,ES-AN
2021-02-09,1,Andalucía,390077,4.6,5337653.0,151577.0,1.79,ES-AN
2021-02-10,1,Andalucía,401714,4.74,5739367.0,159969.0,1.89,ES-AN
2021-02-11,1,Andalucía,415015,4.89,6154382.0,168087.0,1.98,ES-AN
2021-02-12,1,Andalucía,431642,5.09,6586024.0,176731.0,2.08,ES-AN
2021-02-15,1,Andalucía,457018,5.39,7043042.0,190867.0,2.25,ES-AN
2021-02-16,1,Andalucía,468983,5.53,7512025.0,194477.0,2.29,ES-AN
2021-02-17,1,Andalucía,485673,5.73,7997698.0,198314.0,2.34,ES-AN
2021-02-18,1,Andalucía,506973,5.98,8504671.0,202631.0,2.39,ES-AN
2021-02-19,1,Andalucía,561803,6.62,9066474.0,208721.0,2.46,ES-AN
2021-02-22,1,Andalucía,607552,7.16,9674026.0,215070.0,2.54,ES-AN
2021-02-23,1,Andalucía,626659,7.39,10300685.0,216617.0,2.55,ES-AN
2021-02-24,1,Andalucía,653919,7.71,10954604.0,218967.0,2.58,ES-AN
2021-02-25,1,Andalucía,688093,8.11,11642697.0,221557.0,2.61,ES-AN
2021-02-26,1,Andalucía,724385,8.54,12367082.0,225068.0,2.65,ES-AN
2021-03-01,1,Andalucía,769899,9.08,13136981.0,228739.0,2.7,ES-AN
2021-03-02,1,Andalucía,774701,9.13,13911682.0,228829.0,2.7,ES-AN
2021-03-03,1,Andalucía,796930,9.39,14708612.0,233434.0,2.75,ES-AN
2021-03-04,1,Andalucía,834477,9.84,15543089.0,238150.0,2.81,ES-AN
2021-03-05,1,Andalucía,878194,10.35,16421283.0,244049.0,2.88,ES-AN
2021-03-08,1,Andalucía,878209,10.35,17299492.0,244052.0,2.88,ES-AN
2021-03-09,1,Andalucía,951168,11.21,18250660.0,263111.0,3.1,ES-AN
2021-03-10,1,Andalucía,971691,11.45,19222351.0,275060.0,3.24,ES-AN
2021-03-11,1,Andalucía,1000998,11.8,20223349.0,292741.0,3.45,ES-AN
2021-03-12,1,Andalucía,1046334,12.33,21269683.0,322619.0,3.8,ES-AN
2021-03-15,1,Andalucía,1098755,12.95,22368438.0,356888.0,4.21,ES-AN
2021-03-16,1,Andalucía,1113414,13.13,23481852.0,363191.0,4.28,ES-AN
2021-03-17,1,Andalucía,1135990,13.39,24617842.0,383206.0,4.52,ES-AN
2021-03-18,1,Andalucía,1163449,13.72,25781291.0,406759.0,4.8,ES-AN
2021-03-22,1,Andalucía,1185021,13.97,26966312.0,420167.0,4.95,ES-AN
2021-03-23,1,Andalucía,1202553,14.18,28168865.0,422339.0,4.98,ES-AN
2021-03-24,1,Andalucía,1258375,14.83,29427240.0,455368.0,5.37,ES-AN
2021-03-25,1,Andalucía,1293949,15.25,30721189.0,472276.0,5.57,ES-AN
2021-03-26,1,Andalucía,1330236,15.68,32051425.0,489306.0,5.77,ES-AN
2021-03-29,1,Andalucía,1375025,16.21,33426450.0,501832.0,5.92,ES-AN
2021-03-30,1,Andalucía,1400384,16.51,34826834.0,504413.0,5.95,ES-AN
2021-03-31,1,Andalucía,1441414,16.99,36268248.0,507430.0,5.98,ES-AN
2021-04-01,1,Andalucía,1483868,17.49,37752116.0,514632.0,6.07,ES-AN
