cod_ine;Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Población
01;Andalucía;Total;2021;8472407
01;Andalucía;Total;2020;8464411
02;Aragón;Total;2021;1326261
02;Aragón;Total;2020;1329391
03;Asturias, Principado de;Total;2021;1011792
03;Asturias, Principado de;Total;2020;1018784
04;Balears, Illes;Total;2021;1173008
04;Balears, Illes;Total;2020;1171543
05;Canarias;Total;2021;2172944
05;Canarias;Total;2020;2175952
06;Cantabria;Total;2021;584507
06;Cantabria;Total;2020;582905
07;Castilla y León;Total;2021;2383139
07;Castilla y León;Total;2020;2394918
08;Castilla - La Mancha;Total;2021;2049562
08;Castilla - La Mancha;Total;2020;2045221
09;Cataluña;Total;2021;7763362
09;Cataluña;Total;2020;7780479
10;Comunitat Valenciana;Total;2021;5058138
10;Comunitat Valenciana;Total;2020;5057353
11;Extremadura;Total;2021;1059501
11;Extremadura;Total;2020;1063987
12;Galicia;Total;2021;2695645
12;Galicia;Total;2020;2701819
13;Madrid, Comunidad de;Total;2021;6751251
13;Madrid, Comunidad de;Total;2020;6779888
14;Murcia, Región de;Total;2021;1518486
14;Murcia, Región de;Total;2020;1511251
15;Navarra, Comunidad Foral de;Total;2021;661537
15;Navarra, Comunidad Foral de;Total;2020;661197
16;País Vasco;Total;2021;2213993
16;País Vasco;Total;2020;2220504
17;Rioja, La;Total;2021;319796
17;Rioja, La;Total;2020;319914
18;Ceuta;Total;2021;83517
18;Ceuta;Total;2020;84202
19;Melilla;Total;2021;86261
19;Melilla;Total;2020;87076
