fecha;cod_ine;CCAA;dosis_Pfizer;dosis_Moderna;dosis_AstraZeneca;dosis_Janssen;dosis_totales;dosis_administradas;porcentaje_dosis_administradas;porcentaje_entregadas;personas_una_dosis;personas_pauta_completa;porcentaje_pauta_completa;fecha_ultima_vacuna
2021-01-04;1;Andalucía;140295;;;;;25809;0.30;18.4;;;0.00;03/01/2021
2021-01-04;2;Aragón;23715;;;;;2004;0.15;8.5;;;0.00;02/01/2021
2021-01-04;3;Asturias;23720;;;;;9380;0.92;39.5;;;0.00;03/01/2021
2021-01-04;4;Baleares;8940;;;;;153;0.01;1.7;;;0.00;28/12/2020
2021-01-04;5;Canarias;20835;;;;;4846;0.22;23.25;;;0.00;03/01/2021
2021-01-04;6;Cantabria;11850;;;;;304;0.05;2.6;;;0.00;30/12/2020
2021-01-04;7;Castilla y Leon;51390;;;;;10928;0.46;21.26;;;0.00;03/01/2021
2021-01-04;8;Castilla La Mancha;35550;;;;;1983;0.10;5.6;;;0.00;03/01/2021
2021-01-04;9;Cataluña;120545;;;;;8150;0.11;6.8;;;0.00;03/01/2021
2021-01-04;10;C Valenciana;61225;;;;;3252;0.06;5.3;;;0.00;03/01/2021
2021-01-04;11;Extremadura;21725;;;;;686;0.06;3.2;;;0.00;03/01/2021
2021-01-04;12;Galicia;37555;;;;;9124;0.34;24.3;;;0.00;02/01/2021
2021-01-04;17;La Rioja;5915;;;;;324;0.10;5.5;;;0.00;31/12/2020
2021-01-04;13;Madrid;89040;;;;;2883;0.04;3.2;;;0.00;03/01/2021
2021-01-04;14;Murcia;25685;;;;;442;0.03;1.7;;;0.00;04/01/2021
2021-01-04;15;Navarra;6975;;;;;1583;0.24;22.7;;;0.00;04/01/2021
2021-01-04;16;País Vasco;31605;;;;;396;0.02;1.3;;;0.00;02/01/2021
2021-01-04;18;Ceuta;1005;;;;;380;0.45;37.8;;;0.00;31/12/2020
2021-01-04;19;Melilla;1005;;;;;207;0.25;20.6;;;0.00;30/12/2020
2021-01-04;0;España;718575;;;;;82834;0.17;11.5;;;0.00;
2021-01-05;1;Andalucía;140295;;;;;40263;0.47;28.7;;;0.00;04/01/2021
2021-01-05;2;Aragón;23715;;;;;2985;0.22;12.6;;;0.00;04/01/2021
2021-01-05;3;Asturias;23720;;;;;12929;1.27;54.5;;;0.00;05/01/2021
2021-01-05;4;Baleares;12840;;;;;2656;0.22;20.7;;;0.00;04/01/2021
2021-01-05;5;Canarias;27660;;;;;5857;0.26;21.2;;;0.00;04/01/2021
2021-01-05;6;Cantabria;11850;;;;;601;0.10;5.1;;;0.00;05/01/2021
2021-01-05;7;Castilla y Leon;51390;;;;;16430;0.69;32;;;0.00;04/01/2021
2021-01-05;8;Castilla La Mancha;35550;;;;;4092;0.20;11.5;;;0.00;04/01/2021
2021-01-05;9;Cataluña;120545;;;;;11191;0.15;9.3;;;0.00;04/01/2021
2021-01-05;10;C Valenciana;61225;;;;;8586;0.17;14;;;0.00;05/01/2021
2021-01-05;11;Extremadura;21725;;;;;1806;0.17;8.3;;;0.00;04/01/2021
2021-01-05;12;Galicia;37555;;;;;12012;0.45;32;;;0.00;04/01/2021
2021-01-05;17;La Rioja;5915;;;;;585;0.19;9.9;;;0.00;04/01/2021
2021-01-05;13;Madrid;98790;;;;;5335;0.08;5.4;;;0.00;04/01/2021
2021-01-05;14;Murcia;25685;;;;;4949;0.33;19.3;;;0.00;05/01/2021
