Fecha;CCAA;confirmados;hospitalizados;UCI;fallecidos
2020-01-01;España;0;8;0;0
2020-01-01;Andalucía;0;3;0;0
2020-01-01;Aragón;0;0;0;0
2020-01-01;Asturias;0;0;0;0
2020-01-01;Canarias;0;0;0;0
2020-01-01;Cantabria;0;0;0;0
2020-01-01;Castilla y León;0;0;0;0
2020-01-01;Castilla-La Mancha;0;0;0;0
2020-01-01;Cataluña;0;1;0;0
2020-01-01;Ceuta y Melilla;0;0;0;0
2020-01-01;Comunidad Valenciana;0;2;0;0
2020-01-01;Extremadura;0;0;0;0
2020-01-01;Galicia;0;1;0;0
2020-01-01;Islas Baleares;0;0;0;0
2020-01-01;La Rioja;0;0;0;0
2020-01-01;Madrid;0;1;0;0
2020-01-01;Murcia;0;0;0;0
2020-01-01;Navarra;0;0;0;0
2020-01-01;País Vasco;0;0;0;0
2020-01-01;No Consta;0;0;0;0
2020-01-02;España;0;76;1;0
2020-01-02;Andalucía;0;8;0;0
2020-01-02;Aragón;0;0;0;0
2020-01-02;Asturias;0;0;0;0
2020-01-02;Canarias;0;0;0;0
2020-01-02;Cantabria;0;0;0;0
2020-01-02;Castilla y León;0;0;0;0
2020-01-02;Castilla-La Mancha;0;0;0;0
2020-01-02;Cataluña;0;54;0;0
2020-01-02;Ceuta y Melilla;0;0;0;0
2020-01-02;Comunidad Valenciana;0;5;0;0
2020-01-02;Extremadura;0;0;0;0
2020-01-02;Galicia;0;1;0;0
2020-01-02;Islas Baleares;0;0;0;0
2020-01-02;La Rioja;0;0;0;0
2020-01-02;Madrid;0;5;1;0
2020-01-02;Murcia;0;0;0;0
2020-01-02;Navarra;0;0;0;0
2020-01-02;País Vasco;0;3;0;0
2020-01-02;No Consta;0;0;0;0
2020-01-03;España;0;87;2;0
2020-01-03;Andalucía;0;10;0;0
2020-01-03;Aragón;0;0;0;0
2020-01-03;Asturias;0;0;0;0
2020-01-03;Canarias;0;0;0;0
2020-01-03;Cantabria;0;0;0;0
2020-01-03;Castilla y León;0;0;0;0
2020-01-03;Castilla-La Mancha;0;0;0;0
2020-01-03;Cataluña;0;55;0;0
2020-01-03;Ceuta y Melilla;0;0;0;0
2020-01-03;Comunidad Valenciana;0;6;0;0
2020-01-03;Extremadura;0;0;0;0
2020-01-03;Galicia;0;1;0;0
2020-01-03;Islas Baleares;0;0;0;0
2020-01-03;La Rioja;0;0;0;0
2020-01-03;Madrid;0;11;2;0
2020-01-03;Murcia;0;0;0;0
2020-01-03;Navarra;0;0;0;0
2020-01-03;País Vasco;0;3;0;0
2020-01-03;No Consta;0;1;0;0
2020-01-04;España;0;97;2;0
2020-01-04;Andalucía;0;11;0;0
2020-01-04;Aragón;0;0;0;0
2020-01-04;Asturias;0;0;0;0
2020-01-04;Canarias;0;0;0;0
2020-01-04;Cantabria;0;0;0;0
2020-01-04;Castilla y León;0;0;0;0
2020-01-04;Castilla-La Mancha;0;0;0;0
2020-01-04;Cataluña;0;57;0;0
2020-01-04;Ceuta y Melilla;0;0;0;0
2020-01-04;Comunidad Valenciana;0;7;0;0
2020-01-04;Extremadura;0;0;0;0
2020-01-04;Galicia;0;1;0;0
2020-01-04;Islas Baleares;0;0;0;0
2020-01-04;La Rioja;0;0;0;0
2020-01-04;Madrid;0;17;2;0
2020-01-04;Murcia;0;0;0;0
2020-01-04;Navarra;0;0;0;0
2020-01-04;País Vasco;0;3;0;0
2020-01-04;No Consta;0;1;0;0
2020-01-05;España;0;108;2;0
2020-01-05;Andalucía;0;13;0;0
2020-01-05;Aragón;0;0;0;0
2020-01-05;Asturias;0;0;0;0
2020-01-05;Canarias;0;0;0;0
2020-01-05;Cantabria;0;0;0;0
2020-01-05;Castilla y León;0;0;0;0
2020-01-05;Castilla-La Mancha;0;0;0;0
2020-01-05;Cataluña;0;57;0;0
2020-01-05;Ceuta y Melilla;0;0;0;0
2020-01-05;Comunidad Valenciana;0;11;0;0
2020-01-05;Extremadura;0;0;0;0
2020-01-05;Galicia;0;1;0;0
2020-01-05;Islas Baleares;0;0;0;0
2020-01-05;La Rioja;0;0;0;0
2020-01-05;Madrid;0;21;2;0
2020-01-05;Murcia;0;0;0;0
2020-01-05;Navarra;0;0;0;0
2020-01-05;País Vasco;0;4;0;0
2020-01-05;No Consta;0;1;0;0
2020-01-06;España;0;112;2;0
2020-01-06;Andalucía;0;14;0;0
2020-01-06;Aragón;0;0;0;0
2020-01-06;Asturias;0;0;0;0
2020-01-06;Canarias;0;0;0;0
2020-01-06;Cantabria;0;0;0;0
2020-01-06;Castilla y León;0;0;0;0
2020-01-06;Castilla-La Mancha;0;0;0;0
2020-01-06;Cataluña;0;58;0;0
2020-01-06;Ceuta y Melilla;0;0;0;0
2020-01-06;Comunidad Valenciana;0;13;0;0
2020-01-06;Extremadura;0;0;0;0
2020-01-06;Galicia;0;1;0;0
